通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8
0.06,-0.91,-0.87,-0.42,-0.99,-0.73,-0.91,0.09
0.20,-1.09,-0.84,-0.67,-0.55,-0.83,-0.56,0.59
0.54,0.38,-0.70,-0.39,-0.59,-0.16,0.26,0.00
-0.27,-0.86,-0.91,-0.36,-0.59,-1.03,-0.46,0.85
0.63,-0.09,-0.70,-0.74,-0.54,-0.53,-0.58,0.94
-0.15,-0.05,-0.68,-0.49,-0.99,-0.27,0.48,-0.39
0.24,-1.14,-0.94,-0.56,-0.56,0.17,0.57,0.21
0.15,-0.66,-0.99,-0.28,-0.78,-1.24,0.15,0.60
-0.45,0.26,-0.75,-0.29,-0.45,-0.08,0.75,-0.38
0.88,0.30,-0.44,-0.04,-0.40,-0.48,0.27,0.62
0.97,0.20,-0.68,-0.78,-1.10,-0.84,-0.04,0.98
0.28,0.60,-0.44,-0.52,-1.05,-0.80,0.38,0.99
0.05,-0.62,-0.26,0.02,-0.54,-0.05,0.37,0.72
0.37,-0.35,-0.16,0.06,-0.04,-0.61,0.17,0.53
0.09,0.89,-1.20,-0.26,-0.47,0.06,0.64,0.40
-0.24,0.28,-0.70,-0.12,-0.57,-0.72,0.14,1.04
0.32,0.00,-0.34,-0.41,-0.38,0.17,0.84,0.72
0.29,-0.59,-1.41,-0.40,-0.45,-0.15,0.49,0.28
0.01,-0.17,-0.66,-0.79,-0.40,0.05,0.43,-0.16
-0.03,0.53,-1.12,0.13,0.09,0.29,0.88,0.37
0.48,0.20,-0.35,0.21,-0.15,-0.01,0.37,0.54
0.80,0.71,0.09,0.25,-0.13,0.06,0.06,1.05
0.83,-0.12,-0.19,-0.20,-0.51,-0.58,0.26,0.72
1.30,0.70,-0.06,-0.14,-0.68,-0.14,0.58,0.66
-0.14,-0.42,-0.13,0.52,-0.22,-0.39,0.04,0.84
0.26,-0.76,-0.37,-0.26,-0.63,-0.32,0.83,0.30
0.62,0.87,0.08,-0.13,-0.92,0.37,0.90,0.41
0.51,-0.10,-0.66,-0.29,-0.22,-0.42,0.49,0.27
0.94,0.14,-0.30,-0.47,-0.29,0.07,0.65,-0.33
0.58,0.08,-0.43,-0.13,-0.60,-0.57,0.23,0.09
0.14,-0.33,-0.35,-0.06,-0.42,-0.20,-0.31,0.23
1.20,-0.37,-0.55,0.02,-0.39,-0.25,0.26,0.67
0.85,0.01,-0.12,-0.27,-0.54,-0.14,0.14,0.47
1.18,0.12,-0.22,-0.50,-0.58,-0.38,0.37,-0.08
0.67,0.17,-0.13,0.14,-0.84,-0.60,-0.24,0.80
1.14,-0.17,-0.87,-0.10,0.02,-0.17,0.16,0.26
